gene	Example
A1BG	1
A1BG-AS1	0
A1CF	150.999
A2M	0
A2M-AS1	1
A2ML1	0
A2ML1-AS1	0
A2ML1-AS2	0
A2MP1	0
A3GALT2	0
A4GALT	58
A4GNT	0
AAAS	68
AACS	140.047
AACSP1	0
AADAC	16
AADACL2	0
AADACL2-AS1	0
AADACL3	0
AADACL4	0
AADACP1	3.237
AADAT	4
AAGAB	337.999
AAK1	751.023
AAMDC	13.144
AAMP	105
AANAT	0
AAR2	72
AARD	0
AARS1	416
AARS1P1	0
AARS2	13.077
AARSD1	4.542
AARSD1P1	0
AASDH	75.001
AASDHPPT	217
AASDHPPT-AS1	0
AASS	5.859
AATBC	0
AATF	60.999
AATK	80
ABALON	0
ABAT	228
ABCA1	3
ABCA10	12
ABCA11P	4.214
ABCA12	0
ABCA13	1.001
ABCA15P	0
ABCA17P	2
ABCA2	298
ABCA3	42
ABCA3P1	0
ABCA4	0
ABCA5	137.999
ABCA6	0
ABCA7	58.723
ABCA8	1.569
ABCA9	10.647
ABCA9-AS1	0
ABCB1	1354.982
ABCB10	279
ABCB10P1	0
ABCB10P3	0
ABCB10P4	0
ABCB11	1
ABCB4	2.019
ABCB5	0.961
ABCB6	43.806
ABCB7	155.52
ABCB8	48.001
ABCB9	16.203
ABCC1	180
ABCC10	95.68
ABCC11	6
ABCC12	0
ABCC13	0
ABCC2	26.47
ABCC3	2564
ABCC4	0
ABCC5	145
ABCC5-AS1	0
ABCC6	32.219
ABCC6P1	44.848
ABCC6P2	21.374
ABCC8	0
ABCC9	18.671
ABCD1	30
ABCD1P2	0
ABCD1P3	0
ABCD1P4	0
ABCD1P5	0
ABCD2	0
ABCD3	1122
ABCD4	99.479
ABCE1	289
ABCF1	176
ABCF2	55
ABCF2-H2BK1	0
ABCF2P1	0
ABCF2P2	0
ABCF3	94.001
ABCG1	324.005
ABCG2	5225
ABCG4	0
ABCG5	4
ABCG8	5.65
ABHD1	0.992
ABHD10	98
ABHD11	269
ABHD12	314
ABHD12B	129.48
ABHD13	96
ABHD14A	6
ABHD14A-ACY1	0
ABHD14B	307
ABHD15	121.022
ABHD15-AS1	0
ABHD16A	147
ABHD16B	0
ABHD17A	63
ABHD17AP1	0
ABHD17AP3	0
ABHD17AP4	0
ABHD17AP5	0
ABHD17AP6	0
ABHD17AP7	0
ABHD17AP8	0
ABHD17AP9	0
ABHD17B	282.244
ABHD17C	1184
ABHD18	222.097
ABHD2	4825.004
ABHD3	892
ABHD4	471.001
ABHD5	240.216
ABHD6	210
ABHD8	5
ABI1	582
ABI1P1	0
ABI2	133.505
ABI3	0
ABI3BP	11
ABITRAM	266
ABITRAMP1	0
ABL1	97
ABL2	22.982
ABLIM1	778.435
ABLIM2	8
ABLIM3	0
ABO	363.677
ABR	842.001
ABR-AS1	0
ABRA	0
ABRACL	671
ABRAXAS1	73.791
ABRAXAS1P1	0
ABRAXAS1P2	0
ABRAXAS2	187
ABT1	58
ABT1P1	0
ABTB1	45.999
ABTB2	70
ABTB3	8
ACAA1	216.982
ACAA2	887.96
ACAA2P1	0
ACACA	458
ACACB	65.304
ACAD10	97.999
ACAD11	197.107
ACAD8	103
ACAD9	39
ACAD9-DT	0
ACADL	0
ACADM	194.999
ACADS	96
ACADSB	713.27
ACADVL	1257.001
ACAN	0
ACAP1	3
ACAP2	660.82
ACAP2-IT1	0
ACAP3	83
ACAT1	93
ACAT2	643
ACBD3	621
ACBD3-AS1	0
ACBD4	76.998
ACBD5	502.156
ACBD6	40
ACBD7	17.794
ACCS	33
ACCSL	0
ACCSLP1	0
ACD	35
ACE	100.449
ACE2	27.384
ACE2-DT	0
ACE3P	0
ACER1	0.713
ACER2	741
ACER2P1	0
ACER3	566.79
ACER3-AS1	0
ACHE	5
ACIN1	575.005
ACKR1	0
ACKR2	6.014
ACKR3	0
ACKR4	69
ACKR4P1	0
ACLY	1831
ACMSD	5
ACNATP	0
ACO1	742
ACO2	1637
ACO2P1	0
ACO2P2	0
ACOD1	0
ACOT1	18.267
ACOT11	276.209
ACOT12	0
ACOT13	156.001
ACOT2	51.733
ACOT4	33
ACOT6	0
ACOT7	51.779
ACOT8	190.999
ACOT9	172.999
ACOX1	2498.118
ACOX2	0
ACOX3	110.001
ACOXL	0
ACOXL-AS1	0
ACP1	702
ACP2	205.362
ACP3	15
ACP4	0
ACP5	40.792
ACP6	111.001
ACP7	1
ACR	2.453
ACRBP	6
ACRP1	3.547
ACRV1	0
ACSBG1	9
ACSBG2	0
ACSF2	227.008
ACSF3	69.049
ACSL1	879
ACSL3	997
ACSL3-AS1	0
ACSL3P1	0
ACSL4	105
ACSL5	5576.305
ACSL6	2
ACSL6-AS1	0
ACSM1	0
ACSM2A	12.309
ACSM2B	5.44
ACSM3	27.899
ACSM4	0
ACSM5	0
ACSM5P1	0
ACSM6	0
ACSS1	66
ACSS2	2787.001
ACSS3	0
ACSS3-AS1	0
ACTA1	4
ACTA2	48
ACTA2-AS1	1
ACTB	82094.744
ACTBL2	0
ACTBP1	29
ACTBP11	1
ACTBP12	0
ACTBP14	0
ACTBP15	0
ACTBP16	0
ACTBP2	0
ACTBP6	0
ACTBP7	0
ACTBP8	0
ACTBP9	0
ACTC1	0
ACTE1P	0
ACTG1	25419.251
ACTG1P1	1
ACTG1P10	0
ACTG1P11	0
ACTG1P12	0
